question,answer
english is my hardest course,ஆங்கிலம் என் கடினமான பயிற்சி
my professors are very friendly and smart,என் பேராசிரியர்கள் மிகவும் நட்பு மற்றும் புத்திசாலி
its my second year in college now,இப்போது கல்லூரியில் என் இரண்டாவது வருடம்
i love it,நான் அதை நேசிக்கிறேன்
on the weekend we play football together,வார இறுதியில் நாங்கள் கால்பந்து விளையாடுகிறோம்
i have a younger brother,எனக்கு இளைய சகோதரர் இருக்கிறார்
he just started high school,அவர் உயர்நிலை பள்ளி தொடங்கினார்
he is 14 and lives with my parents,அவர் 14 மற்றும் என் பெற்றோருடன் வாழ்கிறார்
they live on mulberry street in boston,அவர்கள் பாஸ்டனில் உள்ள மல்பெரி தெருவில் வாழ்கிறார்கள்
sometimes they visit me in new york,சில நேரங்களில் அவர்கள் என்னை நியூயார்க்கில் பார்க்கிறார்கள்
i am happy when they visit,அவர்கள் வருகையில் நான் சந்தோஷமாக இருக்கிறேன்
my mom always brings me sweets and candy when they come,என் அம்மா எப்பொழுதும் எனக்கு இனிப்புகள் மற்றும் சாக்லேட் செய்கிறாய்
i really miss them too,நான் அவர்களை மிகவும் இழக்கிறேன்
jack was hungry,ஜாக் பசியாக இருந்தார்
he walked to the kitchen,அவர் சமையலறையில் நடந்தார்
he got out some eggs,அவர் சில முட்டைகளை விட்டுவிட்டார்
he took out some oil,அவர் சில எண்ணெயை எடுத்தார்
he placed a skillet on the stove,அவர் அடுப்பில் ஒரு வாணலியில் வைத்தார்
next he turned on the heat,அடுத்த அவர் வெப்பத்தை திரும்பினார்
he poured the oil into the skillet,அவர் வாணலியில் எண்ணெய் ஊற்றினார்
he cracked the eggs into a bowl,அவர் முட்டைகளை ஒரு கிண்ணத்தில் வேகப்படுத்தினார்
he stirred the eggs,அவர் முட்டைகளை தூண்டினார்
then he poured them into the hot skillet,பின்னர் அவர் சூடான வாணலியில் அவர்களை ஊற்றினார்
he waited while the eggs cooked,முட்டைகளை சமைத்தபோது அவர் காத்திருந்தார்
they cooked for two minutes,அவர்கள் இரண்டு நிமிடங்களுக்கு சமைக்கிறார்கள்
he heard them cooking,அவர் அவர்களை சமையல் கேட்டார்
they popped in the oil,அவர்கள் எண்ணெயில் உள்ளனர்
